model	year	odometer	crumb_area	price	model1_est	model5_est	model3_est	model4_est	model2_est
legacy	2014	103000	atlanta	8900	12809.80207946969	11650.57939914163	9714.318802776994	6418.04289544236	14500
outback	2001	258000	atlanta	700	1761.4807184043714	2417.3728222996515	1458.0341742366472	7574.452145214522	2450
legacy	2014	77000	minneapolis	7000	13280.466934660453	11650.57939914163	12283.447832106209	6418.04289544236	14500
legacy	1998	240000	minneapolis	900	-1280.3400946466822	2417.3728222996515	922.7808507769405	6418.04289544236	1500
forester	2004	148000	minneapolis	4500	4008.4174536254163	4789.687074829932	3895.8005130292477	6524.113964686999	3200
impreza	2007	146000	minneapolis	3000	5687.6726880091555	7276.251040221914	4444.922867329722	6655.659942363112	5250
impreza	2005	188000	minneapolis	1800	3817.9163020586107	4789.687074829932	3056.220416928555	6655.659942363112	4500
outback	2015	84000	minneapolis	19500	14899.633003246907	11650.57939914163	16406.378841953803	7574.452145214522	17750
impreza-wrx	2005	89	atlanta	8900	10300.99874247015	7276.251040221914	5810.761997538043	9121.141592920354	6900
legacy-outback	2001	213857	missoula	3000	4571.926066131476	2417.3728222996515	2991.790307853491	3175.4347826086955	1800
impreza-wrx	2013	58958	minneapolis	17900	15089.874729622332	18539.40404040404	19206.62066134627	9121.141592920354	18250
forester	2002	250000	minneapolis	1200	2016.9583550561933	2417.3728222996515	1300.6678194074539	6524.113964686999	2700
legacy	1995	267000	minneapolis	250	-3962.7491953947683	2417.3728222996515	875.173944917783	6418.04289544236	1100
brz	2016	22500	atlanta	9600	18012.34604380389	18539.40404040404	18785.482190618	16082.274725274725	17200
wrx	2008	152000	minneapolis	9000	11946.384489488055	4789.687074829932	10165.73996266865	12931.025862068966	10750
forester-xt	2007	150000	minneapolis	7250	8625.237762785315	4789.687074829932	7066.030403651492	9804.4	9900
forester	1998	199136	minneapolis	1900	-1393.8446120114872	2417.3728222996515	1270.7164212453417	6524.113964686999	1500
brz	2016	16200	atlanta	18500	18158.94375818805	18539.40404040404	19211.72700354069	16082.274725274725	17200
brz	2013	34000	atlanta	19000	15193.210781861384	18539.40404040404	16558.59124171591	16082.274725274725	15950
legacy	2005	254826	minneapolis	9000	4840.185530807101	4789.687074829932	2062.5328611945224	6418.04289544236	4000
outback	2011	116000	minneapolis	11000	11242.179074667358	11650.57939914163	10296.518498195423	7574.452145214522	9900
brz	2014	49000	atlanta	15750	15907.86686691142	18539.40404040404	15835.657401134753	16082.274725274725	16000
